task_id,source_6154_model,source_6029_model,onnx_load_6154,onnx_load_6029,file_size_6154,file_size_6029,node_count_6154,node_count_6029,initializer_count_6154,initializer_count_6029,parameter_bytes_6154,parameter_bytes_6029,memory_footprint_proxy_6154,memory_footprint_proxy_6029,estimated_cost_6154,estimated_cost_6029,estimated_utility_6154,estimated_utility_6029,delta_memory,delta_cost,delta_utility,banned_ops_6154,banned_ops_6029,risk,recommendation,recommended_action,source_id
task041,E:\kagglegolf\submissions\candidates\GOLF_20260607_001_public_6154_repro\onnx\task041.onnx,E:\kagglegolf\data\external\public_bundles\jsrdcht_6029_submission_bundle\extracted\task041.onnx,True,True,1665,2228,13,18,6,6,152,216,14052,16516,14071,16543,15.448129,15.286282,2464,2472,-0.161847,,,medium,hold,keep_6154,SRC_KAGGLE_NOTEBOOK_JSRDCHT_6029
task042,E:\kagglegolf\submissions\candidates\GOLF_20260607_001_public_6154_repro\onnx\task042.onnx,E:\kagglegolf\data\external\public_bundles\jsrdcht_6029_submission_bundle\extracted\task042.onnx,True,True,9668,8398,52,54,42,18,2366,728,10156,33637,10967,33797,15.697354,14.571873,23481,22830,-1.125481,,,medium,hold,keep_6154,SRC_KAGGLE_NOTEBOOK_JSRDCHT_6029
task043,E:\kagglegolf\submissions\candidates\GOLF_20260607_001_public_6154_repro\onnx\task043.onnx,E:\kagglegolf\data\external\public_bundles\jsrdcht_6029_submission_bundle\extracted\task043.onnx,True,True,1966,1966,9,9,14,14,638,638,7618,7618,7757,7757,16.043649,16.043649,0,0,0.000000,,,medium,hold,keep_6154,SRC_KAGGLE_NOTEBOOK_JSRDCHT_6029
task044,E:\kagglegolf\submissions\candidates\GOLF_20260607_001_public_6154_repro\onnx\task044.onnx,E:\kagglegolf\data\external\public_bundles\jsrdcht_6029_submission_bundle\extracted\task044.onnx,True,True,22434,148684,311,1054,43,59,1536,4876,47660,2383764,48083,2385179,14.219316,10.315215,2336104,2337096,-3.904101,,,medium,hold,keep_6154,SRC_KAGGLE_NOTEBOOK_JSRDCHT_6029
task045,E:\kagglegolf\submissions\candidates\GOLF_20260607_001_public_6154_repro\onnx\task045.onnx,E:\kagglegolf\data\external\public_bundles\jsrdcht_6029_submission_bundle\extracted\task045.onnx,True,True,1438,1438,11,11,12,12,212,212,7962,7962,7994,7994,16.013553,16.013553,0,0,0.000000,,,medium,hold,keep_6154,SRC_KAGGLE_NOTEBOOK_JSRDCHT_6029
task046,E:\kagglegolf\submissions\candidates\GOLF_20260607_001_public_6154_repro\onnx\task046.onnx,E:\kagglegolf\data\external\public_bundles\jsrdcht_6029_submission_bundle\extracted\task046.onnx,True,True,8963,8963,70,70,26,26,3580,3580,59160,59160,60026,60026,13.997467,13.997467,0,0,0.000000,,,medium,hold,keep_6154,SRC_KAGGLE_NOTEBOOK_JSRDCHT_6029
task047,E:\kagglegolf\submissions\candidates\GOLF_20260607_001_public_6154_repro\onnx\task047.onnx,E:\kagglegolf\data\external\public_bundles\jsrdcht_6029_submission_bundle\extracted\task047.onnx,True,True,3091,3246,30,31,8,11,288,620,3276,8043,3312,8170,16.894692,15.991776,4767,4858,-0.902917,,,medium,hold,keep_6154,SRC_KAGGLE_NOTEBOOK_JSRDCHT_6029
task048,E:\kagglegolf\submissions\candidates\GOLF_20260607_001_public_6154_repro\onnx\task048.onnx,E:\kagglegolf\data\external\public_bundles\jsrdcht_6029_submission_bundle\extracted\task048.onnx,True,True,5695,5695,49,49,15,15,396,396,9157,9161,9223,9227,15.870544,15.870111,4,4,-0.000434,,,medium,hold,keep_6154,SRC_KAGGLE_NOTEBOOK_JSRDCHT_6029
task049,E:\kagglegolf\submissions\candidates\GOLF_20260607_001_public_6154_repro\onnx\task049.onnx,E:\kagglegolf\data\external\public_bundles\jsrdcht_6029_submission_bundle\extracted\task049.onnx,True,True,3516,3516,29,29,12,12,792,792,31131,33055,31281,33205,14.649234,14.589544,1924,1924,-0.059690,,,medium,hold,keep_6154,SRC_KAGGLE_NOTEBOOK_JSRDCHT_6029
task050,E:\kagglegolf\submissions\candidates\GOLF_20260607_001_public_6154_repro\onnx\task050.onnx,E:\kagglegolf\data\external\public_bundles\jsrdcht_6029_submission_bundle\extracted\task050.onnx,True,True,2540,2540,19,19,9,9,425,425,10550,10550,10800,10800,15.712699,15.712699,0,0,0.000000,,,medium,hold,keep_6154,SRC_KAGGLE_NOTEBOOK_JSRDCHT_6029
task051,E:\kagglegolf\submissions\candidates\GOLF_20260607_001_public_6154_repro\onnx\task051.onnx,E:\kagglegolf\data\external\public_bundles\jsrdcht_6029_submission_bundle\extracted\task051.onnx,True,True,3365,3365,57,57,13,13,588,588,90981,90981,91060,91060,13.580726,13.580726,0,0,0.000000,,,medium,hold,keep_6154,SRC_KAGGLE_NOTEBOOK_JSRDCHT_6029
task052,E:\kagglegolf\submissions\candidates\GOLF_20260607_001_public_6154_repro\onnx\task052.onnx,E:\kagglegolf\data\external\public_bundles\jsrdcht_6029_submission_bundle\extracted\task052.onnx,True,True,1277,1277,10,10,12,12,240,240,1887,1887,1930,1930,17.434725,17.434725,0,0,0.000000,,,medium,hold,keep_6154,SRC_KAGGLE_NOTEBOOK_JSRDCHT_6029
task053,E:\kagglegolf\submissions\candidates\GOLF_20260607_001_public_6154_repro\onnx\task053.onnx,E:\kagglegolf\data\external\public_bundles\jsrdcht_6029_submission_bundle\extracted\task053.onnx,True,True,175,175,1,1,1,1,240,240,240,240,270,270,19.401578,19.401578,0,0,0.000000,,,medium,hold,keep_6154,SRC_KAGGLE_NOTEBOOK_JSRDCHT_6029
task054,E:\kagglegolf\submissions\candidates\GOLF_20260607_001_public_6154_repro\onnx\task054.onnx,E:\kagglegolf\data\external\public_bundles\jsrdcht_6029_submission_bundle\extracted\task054.onnx,True,True,9661,9728,117,118,16,16,900,900,173795,182795,173956,182956,12.933442,12.882999,9000,9000,-0.050443,,,high,high_risk_boundary_or_unknown,probe_bottom15_structural_difference,SRC_KAGGLE_NOTEBOOK_JSRDCHT_6029
task055,E:\kagglegolf\submissions\candidates\GOLF_20260607_001_public_6154_repro\onnx\task055.onnx,E:\kagglegolf\data\external\public_bundles\jsrdcht_6029_submission_bundle\extracted\task055.onnx,True,True,21458,21458,164,164,37,37,4096,4096,40388,40388,41382,41382,14.369399,14.369399,0,0,0.000000,,,medium,hold,keep_6154,SRC_KAGGLE_NOTEBOOK_JSRDCHT_6029
task056,E:\kagglegolf\submissions\candidates\GOLF_20260607_001_public_6154_repro\onnx\task056.onnx,E:\kagglegolf\data\external\public_bundles\jsrdcht_6029_submission_bundle\extracted\task056.onnx,True,True,1515,1515,7,7,10,10,492,492,952,952,1052,1052,18.041552,18.041552,0,0,0.000000,,,medium,hold,keep_6154,SRC_KAGGLE_NOTEBOOK_JSRDCHT_6029
task057,E:\kagglegolf\submissions\candidates\GOLF_20260607_001_public_6154_repro\onnx\task057.onnx,E:\kagglegolf\data\external\public_bundles\jsrdcht_6029_submission_bundle\extracted\task057.onnx,True,True,1832,1880,18,18,6,4,157,88,37545,46892,37566,46903,14.466145,14.244163,9347,9337,-0.221982,,,medium,hold,keep_6154,SRC_KAGGLE_NOTEBOOK_JSRDCHT_6029
task058,E:\kagglegolf\submissions\candidates\GOLF_20260607_001_public_6154_repro\onnx\task058.onnx,E:\kagglegolf\data\external\public_bundles\jsrdcht_6029_submission_bundle\extracted\task058.onnx,True,True,27439,27439,15,15,11,11,25812,25812,35508,35516,41953,41961,14.355695,14.355504,8,8,-0.000191,,,medium,hold,keep_6154,SRC_KAGGLE_NOTEBOOK_JSRDCHT_6029
task059,E:\kagglegolf\submissions\candidates\GOLF_20260607_001_public_6154_repro\onnx\task059.onnx,E:\kagglegolf\data\external\public_bundles\jsrdcht_6029_submission_bundle\extracted\task059.onnx,True,True,12715,12715,20,20,19,19,10356,10356,36364,36364,38917,38917,14.430814,14.430814,0,0,0.000000,,,medium,hold,keep_6154,SRC_KAGGLE_NOTEBOOK_JSRDCHT_6029
task060,E:\kagglegolf\submissions\candidates\GOLF_20260607_001_public_6154_repro\onnx\task060.onnx,E:\kagglegolf\data\external\public_bundles\jsrdcht_6029_submission_bundle\extracted\task060.onnx,True,True,3039,3039,16,16,18,18,876,876,10796,10796,10977,10977,15.696443,15.696443,0,0,0.000000,,,medium,hold,keep_6154,SRC_KAGGLE_NOTEBOOK_JSRDCHT_6029
task061,E:\kagglegolf\submissions\candidates\GOLF_20260607_001_public_6154_repro\onnx\task061.onnx,E:\kagglegolf\data\external\public_bundles\jsrdcht_6029_submission_bundle\extracted\task061.onnx,True,True,17030,17030,9,9,12,12,15754,15754,32696,32696,34668,34668,14.546428,14.546428,0,0,0.000000,,,medium,hold,keep_6154,SRC_KAGGLE_NOTEBOOK_JSRDCHT_6029
task062,E:\kagglegolf\submissions\candidates\GOLF_20260607_001_public_6154_repro\onnx\task062.onnx,E:\kagglegolf\data\external\public_bundles\jsrdcht_6029_submission_bundle\extracted\task062.onnx,True,True,22124,22124,194,194,26,26,3784,3784,50344,50344,51273,51273,14.155080,14.155080,0,0,0.000000,,,medium,hold,keep_6154,SRC_KAGGLE_NOTEBOOK_JSRDCHT_6029
task063,E:\kagglegolf\submissions\candidates\GOLF_20260607_001_public_6154_repro\onnx\task063.onnx,E:\kagglegolf\data\external\public_bundles\jsrdcht_6029_submission_bundle\extracted\task063.onnx,True,True,3709,3709,34,34,13,13,244,244,30944,30944,30976,30976,14.659032,14.659032,0,0,0.000000,,,medium,hold,keep_6154,SRC_KAGGLE_NOTEBOOK_JSRDCHT_6029
task064,E:\kagglegolf\submissions\candidates\GOLF_20260607_001_public_6154_repro\onnx\task064.onnx,E:\kagglegolf\data\external\public_bundles\jsrdcht_6029_submission_bundle\extracted\task064.onnx,True,True,7151,5809,68,48,20,12,692,740,114753,132318,114845,132556,13.348661,13.205240,17565,17711,-0.143422,,,medium,hold,keep_6154,SRC_KAGGLE_NOTEBOOK_JSRDCHT_6029
task065,E:\kagglegolf\submissions\candidates\GOLF_20260607_001_public_6154_repro\onnx\task065.onnx,E:\kagglegolf\data\external\public_bundles\jsrdcht_6029_submission_bundle\extracted\task065.onnx,True,True,2705,2705,36,36,12,12,484,484,51822,51822,51899,51899,14.142945,14.142945,0,0,0.000000,,,medium,hold,keep_6154,SRC_KAGGLE_NOTEBOOK_JSRDCHT_6029
