task_id,arc_id,solver_name,solver_exists,solver_lines,dsl_call_count,dsl_primitives,train_pass,train_total,test_pass,test_total,arc_gen_pass,arc_gen_total,official_pass,all_examples_pass,current_node_count,current_memory_proxy,current_cost_proxy,current_utility_proxy,compile_priority,errors
task118,50846271,solve_50846271,true,41,39,"apply,chain,colorfilter,compose,fill,fork,halve,lbind,mapply,mfilter,objects,ofcolor,prapply,rbind,toivec,tojvec,valmax",4,4,1,1,130,262,true,false,67,116524,116666,13.332930,0.2991556520639858,arc-gen[1]:output_mismatch;arc-gen[4]:output_mismatch;arc-gen[7]:output_mismatch;arc-gen[8]:output_mismatch;arc-gen[13]:output_mismatch;arc-gen[15]:output_mismatch;arc-gen[16]:output_mismatch;arc-gen[20]:output_mismatch
task089,3e980e27,solve_3e980e27,true,39,37,"argmax,astuple,chain,combine,compose,fork,initset,insert,invert,lbind,mapply,objects,paint,rbind,remove,sfilter,vmirror,x14,x27,x33",4,4,1,1,262,262,true,true,180,50383,50481,14.170648,0.29268519748228533,
task284,b7249182,solve_b7249182,true,42,40,"add,astuple,branch,centerofmass,color,combine,compose,connect,cover,fill,first,initset,insert,last,llcorner,lrcorner,merge,objects,order,paint,portrait,shift,toobject,ulcorner,urcorner,x12,x4",3,3,1,1,262,262,true,true,125,114400,116376,13.335418,0.2916145401863325,
task117,4c5c2cf0,solve_4c5c2cf0,true,36,34,"center,color,compose,extract,first,fork,hmirror,matcher,objects,paint,rbind,shift,subgrid,subtract,vmirror",3,3,1,1,186,261,true,false,74,18867,19024,15.146543,0.2898075476156048,arc-gen[0]:output_mismatch;arc-gen[4]:StopIteration;arc-gen[9]:output_mismatch;arc-gen[10]:StopIteration;arc-gen[11]:output_mismatch;arc-gen[18]:output_mismatch;arc-gen[21]:output_mismatch;arc-gen[32]:output_mismatch
task185,7837ac64,solve_7837ac64,true,40,38,"argmax,chain,colorfilter,compose,downscale,fgpartition,first,fork,height,increment,interval,lbind,mapply,matcher,merge,objects,paint,power,rbind,remove,sfilter,subgrid,x36,x6",4,4,1,1,262,262,true,true,242,60045,60112,13.996035,0.289578020205625,
task280,b527c5c6,solve_b527c5c6,true,42,40,"chain,combine,compose,difference,fill,fork,lbind,mapply,matcher,objects,rbind,sfilter,underfill",4,4,1,1,262,262,true,true,144,86808,87688,13.618460,0.284538508472389,
task240,9d9215db,solve_9d9215db,true,43,41,"apply,argmax,chain,combine,compose,cover,fork,initset,insert,lbind,mapply,paint,papply,partition,rbind,rot180,rot270,rot90,sizefilter,tojvec,vmirror",3,3,1,1,262,262,true,true,11,79144,92879,13.560947,0.27900128901788485,
task255,a64e4611,solve_a64e4611,true,50,48,"asindices,astuple,chain,compose,fill,fork,interval,lbind,matcher,multiply,ofcolor,rbind,sfilter,x20",3,3,1,1,128,261,true,false,597,652434,654642,11.608156,0.27899674583980955,arc-gen[0]:output_mismatch;arc-gen[2]:output_mismatch;arc-gen[7]:output_mismatch;arc-gen[10]:output_mismatch;arc-gen[12]:output_mismatch;arc-gen[14]:output_mismatch;arc-gen[15]:output_mismatch;arc-gen[18]:output_mismatch
task023,150deff5,solve_150deff5,true,42,40,"asobject,astuple,canvas,dmirror,fill,hmirror,lbind,mapply,occurrences,vconcat,vmirror",3,3,1,1,51,262,true,false,373,68865,68910,13.859443,0.27851391460878133,arc-gen[0]:output_mismatch;arc-gen[1]:output_mismatch;arc-gen[2]:output_mismatch;arc-gen[3]:output_mismatch;arc-gen[4]:output_mismatch;arc-gen[5]:output_mismatch;arc-gen[9]:output_mismatch;arc-gen[10]:output_mismatch
task054,264363fd,solve_264363fd,true,46,44,"add,argmin,astuple,branch,center,compose,cover,equality,fill,fork,height,index,initset,invert,lbind,mapply,mostcolor,normalize,objects,occurrences,ofcolor,paint,rbind,shift,width",3,3,1,1,262,262,true,true,107,151287,151448,13.072002,0.2710908547884033,
task096,4290ef0e,solve_4290ef0e,true,47,45,"apply,astuple,branch,canvas,chain,compose,contained,decrement,double,fgpartition,fork,increment,interval,lbind,mostcolor,mpapply,objects,order,paint,pair,rbind,rot90,size",3,3,1,1,202,262,true,false,457,195582,196519,12.811486,0.2708558755050896,arc-gen[3]:output_mismatch;arc-gen[4]:output_mismatch;arc-gen[12]:output_mismatch;arc-gen[15]:output_mismatch;arc-gen[20]:output_mismatch;arc-gen[27]:output_mismatch;arc-gen[28]:output_mismatch;arc-gen[30]:output_mismatch
task382,f15e1fac,solve_f15e1fac,true,47,45,"apply,branch,chain,compose,equality,fill,fork,height,increment,insert,interval,lbind,leftmost,mapply,merge,ofcolor,order,pair,papply,portrait,rbind,size,uppermost,x12,x3,x44,x7",3,3,1,1,160,262,true,false,246,97820,98202,13.505218,0.25543959690519863,arc-gen[6]:output_mismatch;arc-gen[11]:output_mismatch;arc-gen[15]:output_mismatch;arc-gen[17]:output_mismatch;arc-gen[22]:output_mismatch;arc-gen[23]:output_mismatch;arc-gen[29]:output_mismatch;arc-gen[33]:output_mismatch
task154,6855a6e4,solve_6855a6e4,true,43,41,"add,apply,branch,colorfilter,compose,cover,extract,fgpartition,first,height,hmirror,matcher,merge,objects,ofcolor,paint,portrait,recolor,rot270,rot90,shift,subgrid,subtract,toivec,ulcorner,valmin",3,3,1,1,177,262,true,false,46,34312,35302,14.528305,0.25540719264732253,arc-gen[13]:output_mismatch;arc-gen[14]:output_mismatch;arc-gen[15]:output_mismatch;arc-gen[22]:output_mismatch;arc-gen[23]:output_mismatch;arc-gen[25]:output_mismatch;arc-gen[27]:output_mismatch;arc-gen[31]:output_mismatch
task191,7df24a62,solve_7df24a62,true,47,45,"apply,astuple,chain,combine,compose,fill,fork,height,lbind,matcher,mpapply,ofcolor,papply,rbind,rot180,rot270,rot90,subgrid,ulcorner,width",4,4,1,1,249,262,true,false,200,88776,89263,13.600658,0.2533187188288457,arc-gen[12]:output_mismatch;arc-gen[27]:output_mismatch;arc-gen[67]:output_mismatch;arc-gen[111]:output_mismatch;arc-gen[118]:output_mismatch;arc-gen[125]:output_mismatch;arc-gen[150]:output_mismatch;arc-gen[155]:output_mismatch
task066,2dd70a9a,solve_2dd70a9a,true,49,47,"add,argmax,astuple,both,branch,center,colorfilter,combine,compose,connect,cover,crement,difference,fill,gravitate,greater,initset,merge,objects,ofcolor,other,rbind,replace,sfilter,shoot,subtract,underfill,vline,x11,x13,x6",3,3,1,1,153,262,true,false,326,104180,104318,13.444801,0.24585530223824592,arc-gen[0]:ValueError;arc-gen[1]:ValueError;arc-gen[2]:output_mismatch;arc-gen[5]:output_mismatch;arc-gen[7]:ValueError;arc-gen[8]:output_mismatch;arc-gen[10]:ValueError;arc-gen[12]:output_mismatch
task046,234bbc79,solve_234bbc79,true,45,43,"apply,astuple,canvas,chain,compose,decrement,first,fork,initset,lbind,objects,order,paint,power,rbind,size,width,x35",4,4,1,1,262,262,true,true,73,34466,35332,14.527456,0.24354754297360517,
task233,97a05b5b,solve_97a05b5b,true,62,60,"apply,argmax,astuple,chain,combine,compose,fork,lbind,mapply,matcher,objects,paint,palette,product,rbind,sfilter,subgrid,switch,x50",3,3,1,1,239,262,true,false,2420,1668098,1678240,10.666744,0.23888760305325718,arc-gen[21]:output_mismatch;arc-gen[30]:output_mismatch;arc-gen[34]:output_mismatch;arc-gen[40]:output_mismatch;arc-gen[52]:output_mismatch;arc-gen[53]:output_mismatch;arc-gen[60]:output_mismatch;arc-gen[69]:output_mismatch
task285,b775ac94,solve_b775ac94,true,59,57,"chain,compose,fork,lbind,mapply,objects,paint,rbind,x25,x30,x38",3,3,1,1,260,261,true,false,279,399722,404340,12.089989,0.2264914278450582,arc-gen[165]:output_mismatch
task179,74dd1130,solve_74dd1130,true,3,1,dmirror,4,4,1,1,262,262,true,true,1,0,0,25.000000,0.0,
task241,9dfd6313,solve_9dfd6313,true,3,1,dmirror,3,3,1,1,262,262,true,true,1,0,0,25.000000,0.0,
task361,e40b9e2f,solve_e40b9e2f,true,22,20,"apply,argmax,compose,first,lbind,mapply,neighbors,objects,paint,x15,x6",2,3,0,1,87,262,false,false,60,17698,17973,15.203374,0.0,train[0]:output_mismatch;test[0]:output_mismatch;arc-gen[0]:output_mismatch;arc-gen[1]:output_mismatch;arc-gen[5]:output_mismatch;arc-gen[6]:output_mismatch;arc-gen[8]:output_mismatch;arc-gen[9]:output_mismatch
